asset,category,full_ticker,dex,launch_date,days_live,ibkr_proxy,ann_ret,bench_ret,alpha,sharpe,sharpe_bench,calmar,calmar_bench,max_dd,max_dd_bench,t_stat,t_p,t_sig,fold_sharpe_mean,fold_sharpe_std,hansen_spa_p,hansen_spa_sig,dsr,dsr_sig,romano_wolf_p,romano_wolf_sig,n_folds,n_trials,fills_per_day,spread_ann,iv_arb_ann,greeks_ann,funding_ann
EUR,fx,xyz:EUR,xyz,2025-12-23,132,FXE,0.005067891213060249,-0.013484118659850705,0.018552009872910953,0.16914330324338883,-0.22921711682637658,0.21582950847814447,-0.31165332894796766,0.02348099316351563,0.04326640342770719,0.36222055774990186,0.3590135242932917,False,0.5058140892397045,2.2223633450610976,0.302,False,0.14403392799504933,False,0.302,False,4,32,3.7803030303030303,0.030351109090909094,0.009517492315800038,-0.015758171190216753,0.0
SILVER,commodity,xyz:SILVER,xyz,2025-12-26,129,SLV,0.3735316468394412,-0.28320082868772883,0.65673247552717,0.6824447185980901,-0.38069379911698675,2.0606454386613855,-0.9786363307214,0.18126924692201818,0.2893831138263259,1.3575515888243284,0.08903861324751938,False,0.7839115033879356,1.79052915562542,0.1,False,0.24141796590687203,False,0.1,False,3,32,38.02325581395349,0.4472874976744186,-0.0973490385336285,0.025480355641010925,0.0
RIVN,stock,xyz:RIVN,xyz,2026-01-14,110,RIVN,0.577607460569852,-0.015076300825707989,0.59268376139556,2.296500720328306,-0.03584362804576935,5.923158741630068,-0.097646686814591,0.09751679564321333,0.15439644003830338,1.7115553804755408,0.04573527060819804,True,1.4799053137554363,1.2816359629422889,0.016,True,0.5739450228416049,False,0.016,True,3,32,37.46363636363636,0.43081148108108125,0.0027710739610355977,-0.00032436333158160336,0.0
BABA,stock,xyz:BABA,xyz,2026-01-15,109,BABA,0.2680301084092854,-0.5338132052415459,0.8018433136508312,1.6969810014022515,-1.724829303092232,4.612046238323237,-2.5662228169142502,0.0581152257716156,0.20801514261471205,2.6720385649122758,0.004713806132536358,True,1.0685547812388274,3.5061668729647084,0.0,True,0.4514308729176634,False,0.0,True,3,32,29.522935779816514,0.31718357117117124,0.04240232224917072,0.006992681252478752,0.0
CL,commodity,xyz:CL,xyz,2026-01-06,118,USO,2.170725489856522,1.4856673480260052,0.6850581418305168,2.8987430265466374,1.8106570873113859,11.447072260047454,5.655772976146993,0.18963150057441178,0.2626815740822255,1.502265532124929,0.06855934909661743,False,1.8541622835451,1.8786491636243388,0.03,True,0.683612985512545,False,0.03,True,3,32,41.45762711864407,0.49318259846153856,0.057703782805420156,-0.045943651451667844,0.0
COPPER,commodity,xyz:COPPER,xyz,2026-01-14,110,CPER,0.3496809344800386,0.007110815837191619,0.342570118642847,2.362730930836673,0.029032442077184018,8.49786073486655,0.053579966611284224,0.04114928984953882,0.1327140774233712,1.6606195626534002,0.05066393919931056,False,1.5185467619251343,2.1631678042385603,0.032,True,0.5904367846481068,False,0.032,True,3,32,24.454545454545453,0.23548605405405412,0.03034380197607395,-0.0033633542771807543,0.0
NATGAS,commodity,xyz:NATGAS,xyz,2026-01-21,103,UNG,0.45762298864556167,-0.12321244791136365,0.5808354365569253,1.7586614044202284,-0.2803462632886132,7.0484110219983656,-0.5297380866842684,0.06492569562377995,0.23259125784701237,1.582445009324365,0.05931816146074176,False,1.0670245595918346,1.0572424561136102,0.012,True,0.46619842524075744,False,0.012,True,3,32,32.592233009708735,0.36596757176470596,-0.04297096628603005,-5.47146540631432e-06,0.0
PLATINUM,commodity,xyz:PLATINUM,xyz,2026-01-27,97,PPLT,0.2789016297216332,-0.3301972668042373,0.6090988965258705,1.2780867834568752,-0.8816366598226912,4.569804060742745,-1.9808242024397928,0.061031419731440835,0.16669690646829302,1.8124696544418684,0.0376377843025798,True,0.6554401356894554,2.261122644240061,0.002,True,0.37727987885853675,False,0.002,True,2,32,28.350515463917525,0.3142956428571429,-0.027395393541465956,-0.008889765461283502,0.0
USAR,stock,xyz:USAR,xyz,2026-01-26,98,,1.7534757021438314,1.8020810806942174,-0.048605378550385936,4.309044782476538,2.2202540647278197,15.642629267027122,5.70668230466078,0.11209597007070661,0.3157843707581927,-0.05313646104927806,0.5210955122988059,False,3.314524238750952,0.7560835520372227,1.0,False,0.9062069774623261,False,0.48,False,2,32,39.37755102040816,0.47797354285714305,-0.06372503726379324,0.02439553543012338,0.0
CRWV,stock,xyz:CRWV,xyz,2026-01-27,97,CRWV,1.8314415494299572,2.2823480532897817,-0.45090650385982456,3.772799099989954,3.046399488493972,14.336761619787431,10.623743186987227,0.1277444375515195,0.21483464096584867,-0.6747767547874894,0.7487029624258907,False,3.7774049963421943,0.9852909609744138,1.0,False,0.8034701556412429,False,0.83,False,2,32,37.123711340206185,0.4456718892857144,-0.08589853556743363,0.02745923621831109,0.0
